02:49:15.122 > 26; Data: 2
02:49:15.122 > MEMORY:  Size: 100; Address: 0; Redundancy: 2; Data id: 26; Save count: 0
02:49:15.122 > 6; Data: 2
02:49:15.122 > READ:    Memory read at id: 26; Data: 2
02:49:15.122 > MEMORY:  Size: 100; Address: 0; Redundancy: 2; Data id: 26; Save count: 0
02:49:16.705 > READ:    Memory read at id: 0; Data: 255
02:49:16.709 > READ:    Memory read at id: 1; Data: 255
02:49:16.709 > READ:    Memory read at id: 2; Data: 255
02:49:16.713 > READ:    Memory read at id: 3; Data: 255
02:49:16.717 > READ:    Memory read at id: 4; Data: 255
02:49:16.721 > READ:    Memory read at id: 5; Data: 255
02:49:16.725 > READ:    Memory read at id: 6; Data: 255
02:49:16.729 > READ:    Memory read at id: 7; Data: 255
02:49:16.733 > READ:    Memory read at id: 8; Data: 255
02:49:16.738 > READ:    Memory read at id: 9; Data: 255
02:49:16.738 > READ:    Memory read at id: 10; Data: 255
02:49:16.742 > READ:    Memory read at id: 11; Data: 255
02:49:16.746 > READ:    Memory read at id: 12; Data: 255
02:49:16.750 > READ:    Memory read at id: 13; Data: 255
02:49:16.754 > READ:    Memory read at id: 14; Data: 255
02:49:16.758 > READ:    Memory read at id: 15; Data: 255
02:49:16.762 > READ:    Memory read at id: 16; Data: 255
02:49:16.765 > READ:    Memory read at id: 17; Data: 255
02:49:16.770 > READ:    Memory read at id: 18; Data: 255
02:49:16.774 > READ:    Memory read at id: 19; Data: 255
02:49:16.774 > READ:    Memory read at id: 20; Data: 255
02:49:16.778 > READ:    Memory read at id: 21; Data: 255
02:49:16.782 > READ:    Memory read at id: 22; Data: 255
02:49:16.786 > READ:    Memory read at id: 23; Data: 255
02:49:16.790 > READ:    Memory read at id: 24; Data: 255
02:49:16.794 > READ:    Memory read at id: 25; Data: 255
02:49:16.798 > READ:    Memory read at id: 26; Data: 2
02:49:16.802 > READ:    Memory read at id: 26; Data: 2
02:49:16.802 > MEMORY:  Size: 100; Address: 0; Redundancy: 2; Data id: 26; Save count: 0
02:49:18.703 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:16.797 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:18.800 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:20.803 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:22.806 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:24.809 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:26.811 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:28.814 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:30.816 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:32.824 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:34.826 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:36.830 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:38.832 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:40.835 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:42.838 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:44.841 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:46.843 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:48.846 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:50.854 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:52.856 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:54.859 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:56.862 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:58.865 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:00.868 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:02.871 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:04.873 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:06.881 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:08.883 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:10.886 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:12.889 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:14.891 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:16.894 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:18.897 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:20.900 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:51:22.903 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
